"Ne","removed"
32.0,0.0
32.0,0.015873015873015872
40.0,0.031746031746031744
48.0,0.047619047619047616
50.0,0.06349206349206349
51.0,0.07936507936507936
54.0,0.09523809523809523
56.0,0.1111111111111111
57.0,0.12698412698412698
58.0,0.14285714285714285
62.0,0.15873015873015872
65.0,0.1746031746031746
69.0,0.19047619047619047
70.0,0.20634920634920634
77.0,0.2222222222222222
93.0,0.23809523809523808
108.0,0.25396825396825395
110.0,0.2698412698412698
118.0,0.2857142857142857
117.0,0.30158730158730157
114.0,0.31746031746031744
113.0,0.3333333333333333
112.0,0.3492063492063492
118.0,0.36507936507936506
123.0,0.38095238095238093
143.0,0.3968253968253968
149.0,0.4126984126984127
154.0,0.42857142857142855
159.0,0.4444444444444444
152.0,0.4603174603174603
157.0,0.47619047619047616
161.0,0.49206349206349204
153.0,0.5079365079365079
145.0,0.5238095238095237
159.0,0.5396825396825397
162.0,0.5555555555555556
184.0,0.5714285714285714
172.0,0.5873015873015872
161.0,0.6031746031746031
183.0,0.6190476190476191
169.0,0.6349206349206349
155.0,0.6507936507936507
180.0,0.6666666666666666
252.0,0.6825396825396826
240.0,0.6984126984126984
213.0,0.7142857142857142
201.0,0.7301587301587301
349.0,0.746031746031746
301.0,0.7619047619047619
301.0,0.7777777777777777
301.0,0.7936507936507936
301.0,0.8095238095238095
301.0,0.8253968253968254
301.0,0.8412698412698412
301.0,0.8571428571428571
420.0,0.873015873015873
