"","sra_accession","sample","run","sra_fastq1","sra_fastq2","fastq1","fastq2"
"1","SRR6121438","1323","victoria","1323.1.1.vic.fastq.gz","1323.2.1.vic.fastq.gz","./data/raw/victoria/1323.1.1.fastq","./data/raw/victoria/1323.2.1.fastq"
"2","SRR6121436","1340","victoria","1340.1.1.vic.fastq.gz","1340.2.1.vic.fastq.gz","./data/raw/victoria/1340.1.1.fastq","./data/raw/victoria/1340.2.1.fastq"
"3","SRR6121379","Vic_pool","victoria","Vic_pool.1.1.vic.fastq.gz","Vic_pool.2.1.vic.fastq.gz","./data/raw/victoria/Vic_pool.1.1.fastq","./data/raw/victoria/Vic_pool.2.1.fastq"
"4","SRR6121289","1240","victoria","1240.1.1.vic.fastq.gz","1240.2.1.vic.fastq.gz","./data/raw/victoria/1240.1.1.fastq","./data/raw/victoria/1240.2.1.fastq"
"5","SRR6121373","1238","victoria","1238.1.1.vic.fastq.gz","1238.2.1.vic.fastq.gz","./data/raw/victoria/1238.1.1.fastq","./data/raw/victoria/1238.2.1.fastq"
"6","SRR6121369","1232","victoria","1232.1.1.vic.fastq.gz","1232.2.1.vic.fastq.gz","./data/raw/victoria/1232.1.1.fastq","./data/raw/victoria/1232.2.1.fastq"
"7","SRR6121371","1231","victoria","1231.1.1.vic.fastq.gz","1231.2.1.vic.fastq.gz","./data/raw/victoria/1231.1.1.fastq","./data/raw/victoria/1231.2.1.fastq"
"8","SRR6121291","1237","victoria","1237.1.1.vic.fastq.gz","1237.2.1.vic.fastq.gz","./data/raw/victoria/1237.1.1.fastq","./data/raw/victoria/1237.2.1.fastq"
"9","SRR6121290","1241","victoria","1241.1.1.vic.fastq.gz","1241.2.1.vic.fastq.gz","./data/raw/victoria/1241.1.1.fastq","./data/raw/victoria/1241.2.1.fastq"
"10","SRR6121259","1230","victoria","1230.1.1.vic.fastq.gz","1230.2.1.vic.fastq.gz","./data/raw/victoria/1230.1.1.fastq","./data/raw/victoria/1230.2.1.fastq"
"11","SRR6121265","1228","victoria","1228.1.1.vic.fastq.gz","1228.2.1.vic.fastq.gz","./data/raw/victoria/1228.1.1.fastq","./data/raw/victoria/1228.2.1.fastq"
"12","SRR6121267","1229","victoria","1229.1.1.vic.fastq.gz","1229.2.1.vic.fastq.gz","./data/raw/victoria/1229.1.1.fastq","./data/raw/victoria/1229.2.1.fastq"
"13","SRR6121263","1227","victoria","1227.1.1.vic.fastq.gz","1227.2.1.vic.fastq.gz","./data/raw/victoria/1227.1.1.fastq","./data/raw/victoria/1227.2.1.fastq"
"14","SRR6121260","1225","victoria","1225.1.1.vic.fastq.gz","1225.2.1.vic.fastq.gz","./data/raw/victoria/1225.1.1.fastq","./data/raw/victoria/1225.2.1.fastq"
